year,imd_decile,ethnic_group,infant_deaths,infant_mortality_rate,rate_unreliable_flag
2009,7,White,141,3.2,False
2009,8,Asian,11,4.2,True
2009,8,Black,6,8.3,True
2009,8,Mixed_or_multiple,6,3.0,True
2009,8,Any_Other_ethnic_group,2,,True
2009,8,White,138,3.2,False
2009,9,Asian,6,2.5,True
2009,9,Black,5,7.6,True
2009,9,Mixed_or_multiple,3,1.6,True
2009,9,Any_Other_ethnic_group,3,5.3,True
2009,9,White,148,3.4,False
2009,10,Asian,7,3.4,True
2009,10,Black,9,19.8,True
2009,10,Mixed_or_multiple,9,5.1,True
2009,10,Any_Other_ethnic_group,3,5.1,True
2009,10,White,118,2.8,False
2009,Total,Asian,414,5.9,False
2009,Total,Black,281,7.7,False
2009,Total,Mixed_or_multiple,142,4.9,False
2009,Total,Any_Other_ethnic_group,71,4.9,False
2009,Total,White,1834,3.8,False
2008,1,Asian,172,9.3,False
2008,1,Black,85,8.8,False
2008,1,Mixed_or_multiple,40,9.1,False
2008,1,Any_Other_ethnic_group,19,5.6,True
2008,1,White,329,5.8,False
2008,2,Asian,75,5.7,False
2008,2,Black,79,8.3,False
2008,2,Mixed_or_multiple,34,8.0,False
2008,2,Any_Other_ethnic_group,11,4.0,True
2008,2,White,240,4.7,False
2008,3,Asian,56,6.0,False
2008,3,Black,54,8.1,False
2008,3,Mixed_or_multiple,11,3.0,True
2008,3,Any_Other_ethnic_group,10,4.8,True
2008,3,White,205,4.2,False
2008,4,Asian,45,6.3,False
2008,4,Black,29,7.9,False
2008,4,Mixed_or_multiple,15,5.0,True
2008,4,Any_Other_ethnic_group,6,4.0,True
2008,4,White,204,4.3,False
2008,5,Asian,32,5.7,False
2008,5,Black,15,6.2,True
2008,5,Mixed_or_multiple,15,5.6,True
2008,5,Any_Other_ethnic_group,10,8.1,True
2008,5,White,169,3.7,False
2008,6,Asian,21,4.9,False
2008,6,Black,12,8.3,True
2008,6,Mixed_or_multiple,5,2.4,True
2008,6,Any_Other_ethnic_group,2,,True
2008,6,White,137,3.1,False
2008,7,Asian,10,3.4,True
2008,7,Black,10,11.7,True
